Date,numOfJobs
2018-04-26,38 
2018-04-27,45 
2018-04-30,59 
2018-05-01,80 
2018-05-02,87 
2018-05-03,104 
2018-05-04,111 
2018-05-07,120 
2018-05-08,144
2018-05-09,152
2018-05-10,163 
2018-05-11,160 
2018-05-14,150  
2018-05-15,152 
2018-05-16,160 
2018-05-17,163 
2018-05-17,163 
2018-05-18,164 
2018-05-22,143 
2018-05-23,166 
2018-05-24,160 
2018-05-25,143 
2018-05-28,109 
2018-05-29,119 
2018-05-31,121 
2018-06-01,117 
2018-06-04,108 
2018-06-05,115 
2018-06-06,133 
2018-06-07,131 
2018-06-08,120
2018-06-11,92
2018-06-12,95 
2018-06-13,102 
2018-06-19,96
2018-06-20,92
2018-07-01,75
2018-07-13,80 
2018-07-24,63
2018-07-27,51
2018-08-09,32
2018-08-13,53
2018-08-17,31 
2018-08-24,21
